task,kind,family,multiple,mean_percent,sd_percent,relative_l2_percent,failures,worst
duffing_full,ndde4,shift,8,61.8130,7.7306,93.6665,0,138.2745
duffing_full,nie_exp,new,1,0.8647,0.0574,1.0917,0,2.1990
duffing_full,nie_exp,new,2,2.3389,0.3431,3.3167,0,5.6359
duffing_full,nie_exp,new,4,3.6963,0.4866,6.4367,0,7.3229
duffing_full,nie_exp,new,8,5.1019,0.4850,11.7462,0,8.3114
duffing_full,nie_exp,shift,1,2.6126,0.4199,1.8711,0,19.7241
duffing_full,nie_exp,shift,2,5.0358,0.5133,4.2590,0,25.7811
duffing_full,nie_exp,shift,4,6.6003,0.6751,7.0413,0,27.5226
duffing_full,nie_exp,shift,8,7.4946,0.7470,11.0286,0,24.4835
duffing_full,nie_fourier,new,1,0.6846,0.0349,0.8810,0,3.2822
duffing_full,nie_fourier,new,2,11.4450,1.2759,15.4971,0,20.5128
duffing_full,nie_fourier,new,4,50.5303,3.3110,83.4250,0,84.0191
duffing_full,nie_fourier,new,8,81.0366,7.6471,179.9911,0,126.2540
duffing_full,nie_fourier,shift,1,4.0101,0.0825,2.6249,0,26.7671
duffing_full,nie_fourier,shift,2,17.7701,1.8987,15.6643,0,41.6204
duffing_full,nie_fourier,shift,4,69.9266,5.5457,76.7702,0,109.1991
duffing_full,nie_fourier,shift,8,104.1495,12.1447,155.2951,0,152.9713
duffing_full,nie_mlp,new,1,0.7407,0.0152,0.9257,0,3.5181
duffing_full,nie_mlp,new,2,2.4679,0.8355,3.3682,0,6.8087
duffing_full,nie_mlp,new,4,3.9050,1.2215,6.2997,0,9.8899
duffing_full,nie_mlp,new,8,3.9435,1.1764,8.5370,0,10.7331
duffing_full,nie_mlp,shift,1,4.0771,0.0847,2.6303,0,28.4693
duffing_full,nie_mlp,shift,2,6.8334,0.9824,5.2175,0,36.3689
duffing_full,nie_mlp,shift,4,8.7010,2.0110,8.2657,0,39.1258
duffing_full,nie_mlp,shift,8,8.9053,2.1943,11.5155,0,35.3670
duffing_full,node8,new,1,0.6700,0.0678,0.9503,0,3.3434
duffing_full,node8,new,2,12.1480,1.7784,17.3740,0,27.9427
duffing_full,node8,new,4,30.6216,0.3144,53.2290,0,59.8327
duffing_full,node8,new,8,73.8253,2.0208,178.4132,0,150.9798
duffing_full,node8,shift,1,8.1979,1.9237,5.0458,0,76.8521
duffing_full,node8,shift,2,22.7935,4.4689,18.8271,0,153.4614
duffing_full,node8,shift,4,40.5897,11.0390,44.0777,0,272.1168
duffing_full,node8,shift,8,83.5226,19.9990,133.0411,0,417.5856
duffing_full,node_current,new,1,0.1490,0.0266,0.1782,0,1.1390
duffing_full,node_current,new,2,0.1526,0.0353,0.2134,0,1.1220
duffing_full,node_current,new,4,0.1627,0.0434,0.3096,0,1.0008
duffing_full,node_current,new,8,0.2964,0.0987,0.7723,0,0.7998
duffing_full,node_current,shift,1,4.0758,0.1162,2.3533,0,47.2037
duffing_full,node_current,shift,2,4.4282,0.1424,2.8074,0,54.2041
duffing_full,node_current,shift,4,3.9868,0.1552,3.0718,0,49.5631
duffing_full,node_current,shift,8,3.1585,0.1548,3.3461,0,38.5663
mackey_glass,anie_lag,new,1,19.3593,13.1479,6.8790,0,60.6842
mackey_glass,anie_lag,new,2,31.1543,19.0457,10.2120,0,77.8338
mackey_glass,anie_lag,new,4,54.3535,5.5754,17.4339,0,95.9359
mackey_glass,anie_lag,new,8,inf,,inf,10,inf
mackey_glass,anie_lag,shift,1,23.7820,12.8498,8.1881,0,80.7121
mackey_glass,anie_lag,shift,2,30.0017,16.3780,9.6274,0,84.1299
mackey_glass,anie_lag,shift,4,51.4434,9.3405,16.3641,0,103.8570
mackey_glass,anie_lag,shift,8,inf,,inf,10,inf
mackey_glass,ndde1,new,1,0.3559,0.0434,0.1180,0,0.9489
mackey_glass,ndde1,new,2,0.4904,0.0631,0.1570,0,1.4761
mackey_glass,ndde1,new,4,0.7643,0.1144,0.2430,0,2.1654
mackey_glass,ndde1,new,8,1.4082,0.1569,0.4468,0,4.9810
mackey_glass,ndde1,shift,1,0.7852,0.0123,0.2607,0,2.1829
mackey_glass,ndde1,shift,2,1.0364,0.0379,0.3255,0,3.3930
mackey_glass,ndde1,shift,4,1.4334,0.0367,0.4514,0,6.2564
mackey_glass,ndde1,shift,8,2.6717,0.0442,0.8448,0,9.0236
mackey_glass,ndde4,new,1,0.4578,0.0093,0.1603,0,1.3260
mackey_glass,ndde4,new,2,0.6027,0.0135,0.1957,0,1.9240
mackey_glass,ndde4,new,4,0.9910,0.0137,0.3177,0,3.3126
mackey_glass,ndde4,new,8,2.0029,0.4596,0.6392,0,10.0214
mackey_glass,ndde4,shift,1,0.8387,0.0961,0.2856,0,2.1787
mackey_glass,ndde4,shift,2,1.0554,0.1508,0.3353,0,3.0762
mackey_glass,ndde4,shift,4,1.3681,0.2558,0.4336,0,6.8253
mackey_glass,ndde4,shift,8,2.7913,0.1405,0.8834,0,10.3572
mackey_glass,nie_exp,new,1,23.3017,0.5974,8.2081,0,57.2658
mackey_glass,nie_exp,new,2,39.7113,0.9826,13.3438,0,83.3680
mackey_glass,nie_exp,new,4,56.1423,0.5593,18.2581,0,108.8208
mackey_glass,nie_exp,new,8,75.0165,1.4713,23.9597,0,133.6548
mackey_glass,nie_exp,shift,1,27.9124,0.8071,9.5317,0,49.1009
mackey_glass,nie_exp,shift,2,39.1558,1.3904,12.6877,0,82.6011
mackey_glass,nie_exp,shift,4,58.3105,1.5186,18.6993,0,130.9813
mackey_glass,nie_exp,shift,8,85.6320,3.3420,27.1858,0,147.3791
mackey_glass,nie_fourier,new,1,9.5363,0.7043,3.3014,0,24.2924
mackey_glass,nie_fourier,new,2,53.4037,10.7005,17.2346,0,114.3538
mackey_glass,nie_fourier,new,4,120.9381,7.6611,39.0122,0,183.0504
mackey_glass,nie_fourier,new,8,202.1854,25.3119,64.3363,0,344.2874
mackey_glass,nie_fourier,shift,1,17.8610,1.2322,6.0409,0,38.1835
mackey_glass,nie_fourier,shift,2,48.8925,8.5025,15.5458,0,99.7264
mackey_glass,nie_fourier,shift,4,108.1638,17.9238,34.5282,0,166.0752
mackey_glass,nie_fourier,shift,8,184.9370,32.5312,58.5709,0,316.8733
mackey_glass,nie_mlp,new,1,4.6678,0.9917,1.5961,0,12.3719
mackey_glass,nie_mlp,new,2,7.0353,2.0021,2.2807,0,17.9182
mackey_glass,nie_mlp,new,4,12.4390,5.6404,3.9963,0,32.7685
mackey_glass,nie_mlp,new,8,22.4793,9.3402,7.1609,0,71.0301
mackey_glass,nie_mlp,shift,1,7.5001,1.9183,2.5426,0,16.2443
mackey_glass,nie_mlp,shift,2,8.7387,2.0273,2.7758,0,20.7017
mackey_glass,nie_mlp,shift,4,11.5798,3.8760,3.6802,0,43.9813
mackey_glass,nie_mlp,shift,8,20.7387,6.8185,6.5795,0,56.6133
mackey_glass,node32,new,1,11.8318,0.0351,3.9724,0,33.8347
mackey_glass,node32,new,2,80.2544,12.5620,26.4864,0,164.3043
mackey_glass,node32,new,4,242.0426,3.7800,77.8110,0,501.3901
mackey_glass,node32,new,8,1101.0935,635.1853,349.6543,0,2153.3616
mackey_glass,node32,shift,1,32.2029,0.8289,10.8100,0,78.7553
mackey_glass,node32,shift,2,90.6025,13.6702,28.9138,0,282.6477
mackey_glass,node32,shift,4,234.2380,20.8943,74.5700,0,492.0625
mackey_glass,node32,shift,8,1126.1122,561.1388,356.4394,0,2146.6665
mackey_glass,node8,new,1,9.1505,0.5608,3.0146,0,41.4136
mackey_glass,node8,new,2,63.5466,4.0539,20.7286,0,151.8381
mackey_glass,node8,new,4,173.5349,36.5761,55.7630,0,291.5404
mackey_glass,node8,new,8,546.3492,14.2312,173.5196,0,957.2853
mackey_glass,node8,shift,1,33.2867,1.8455,11.2068,0,95.2581
mackey_glass,node8,shift,2,71.1690,5.0289,22.7532,0,141.6474
mackey_glass,node8,shift,4,177.9899,65.6493,56.5839,0,345.6003
mackey_glass,node8,shift,8,524.8930,41.6990,166.1654,0,1067.1378
relaxation,anie_lag,new,1,1.3592,0.0647,1.8536,0,5.0288
relaxation,anie_lag,new,2,1.4581,0.0664,1.8468,0,6.3526
relaxation,anie_lag,new,4,1.6969,0.0401,2.0019,0,7.2135
relaxation,anie_lag,new,8,2.2920,0.7733,2.4383,0,9.4324
relaxation,anie_lag,shift,1,2.9555,0.0051,5.6250,0,6.4225
relaxation,anie_lag,shift,2,3.1876,0.0321,5.6325,0,8.9582
relaxation,anie_lag,shift,4,3.3371,0.0810,5.7325,0,8.8586
relaxation,anie_lag,shift,8,3.6037,0.3850,5.9432,0,9.3226
relaxation,ndde4,new,1,0.9853,0.0692,1.2223,0,4.3116
relaxation,ndde4,new,2,1.1505,0.1156,1.3234,0,4.8156
relaxation,ndde4,new,4,1.7470,0.1309,1.6962,0,20.1120
relaxation,ndde4,new,8,2.0861,0.1742,1.8138,0,21.8115
relaxation,ndde4,shift,1,8.0622,0.0828,13.9217,0,26.5838
relaxation,ndde4,shift,2,9.1323,0.2419,14.0526,0,34.6135
relaxation,ndde4,shift,4,9.6174,0.4346,14.2479,0,43.5372
relaxation,ndde4,shift,8,9.9858,0.8237,14.4030,0,47.1884
relaxation,nie_exp,new,1,1.0059,0.0513,1.3395,0,3.5785
relaxation,nie_exp,new,2,1.1693,0.0000,1.4164,0,3.5518
relaxation,nie_exp,new,4,1.3986,0.0471,1.5788,0,7.1450
relaxation,nie_exp,new,8,1.6148,0.0219,1.6657,0,7.8435
relaxation,nie_exp,shift,1,2.4413,0.0048,4.5387,0,5.8097
relaxation,nie_exp,shift,2,2.6938,0.0232,4.6098,0,8.0653
relaxation,nie_exp,shift,4,2.8066,0.0334,4.6832,0,7.6801
relaxation,nie_exp,shift,8,2.8987,0.0182,4.8045,0,9.0523
relaxation,nie_fourier,new,1,0.7959,0.0699,1.0200,0,2.2685
relaxation,nie_fourier,new,2,3.6709,0.0780,3.8966,0,16.8120
relaxation,nie_fourier,new,4,6.5672,0.2635,6.7505,0,32.3519
relaxation,nie_fourier,new,8,9.2137,0.5189,8.9479,0,48.2591
relaxation,nie_fourier,shift,1,2.9491,0.0929,5.6546,0,6.5612
relaxation,nie_fourier,shift,2,3.9346,0.0397,6.3188,0,8.5260
relaxation,nie_fourier,shift,4,4.7948,0.0040,7.0236,0,14.0270
relaxation,nie_fourier,shift,8,5.0737,0.0237,7.2755,0,14.1592
relaxation,nie_mlp,new,1,1.0631,0.3588,1.4456,0,4.4896
